FileName,Type,Name,ReleaseDate,Eoas,Eol,Version,Date
eks,versions,1.29-eks-3,2024-03-12,,,,
eks,versions,1.28-eks-9,2024-03-12,,,,
eks,versions,1.27-eks-13,2024-03-12,,,,
eks,versions,1.26-eks-14,2024-03-12,,,,
eks,versions,1.25-eks-15,2024-03-12,,,,
eks,versions,1.24-eks-18,2024-03-12,,,,
eks,versions,1.29-eks-1,2024-01-23,,,,
eks,versions,1.28-eks-7,2024-01-17,,,,
eks,versions,1.27-eks-11,2024-01-17,,,,
eks,versions,1.26-eks-12,2024-01-17,,,,
eks,versions,1.25-eks-13,2024-01-17,,,,
eks,versions,1.24-eks-16,2024-01-17,,,,
eks,versions,1.28-eks-6,2023-12-14,,,,
eks,versions,1.27-eks-10,2023-12-14,,,,
eks,versions,1.26-eks-11,2023-12-14,,,,
eks,versions,1.25-eks-12,2023-12-14,,,,
eks,versions,1.24-eks-15,2023-12-14,,,,
eks,versions,1.28-eks-5,2023-12-12,,,,
eks,versions,1.27-eks-9,2023-12-12,,,,
eks,versions,1.26-eks-10,2023-12-12,,,,
eks,versions,1.25-eks-11,2023-12-12,,,,
eks,versions,1.24-eks-14,2023-12-12,,,,
eks,versions,1.28-eks-4,2023-11-10,,,,
eks,versions,1.27-eks-8,2023-11-10,,,,
eks,versions,1.26-eks-9,2023-11-10,,,,
eks,versions,1.25-eks-10,2023-11-10,,,,
eks,versions,1.24-eks-13,2023-11-10,,,,
eks,versions,1.28-eks-3,2023-11-03,,,,
eks,versions,1.27-eks-7,2023-11-03,,,,
eks,versions,1.26-eks-8,2023-11-03,,,,
eks,versions,1.25-eks-9,2023-11-03,,,,
eks,versions,1.24-eks-12,2023-11-03,,,,
eks,versions,1.28-eks-2,2023-10-16,,,,
eks,versions,1.27-eks-6,2023-10-16,,,,
eks,versions,1.26-eks-7,2023-10-16,,,,
eks,versions,1.25-eks-8,2023-10-16,,,,
eks,versions,1.24-eks-11,2023-10-16,,,,
eks,versions,1.28-eks-1,2023-09-26,,,,
eks,versions,1.27-eks-5,2023-08-30,,,,
eks,versions,1.26-eks-6,2023-08-30,,,,
eks,versions,1.25-eks-7,2023-08-30,,,,
eks,versions,1.24-eks-10,2023-08-30,,,,
eks,versions,1.27-eks-4,2023-07-30,,,,
eks,versions,1.26-eks-5,2023-07-30,,,,
eks,versions,1.25-eks-6,2023-07-30,,,,
eks,versions,1.24-eks-9,2023-07-30,,,,
eks,versions,1.27-eks-3,2023-06-30,,,,
eks,versions,1.26-eks-4,2023-06-30,,,,
eks,versions,1.25-eks-5,2023-06-30,,,,
eks,versions,1.24-eks-8,2023-06-30,,,,
eks,versions,1.27-eks-2,2023-06-09,,,,
eks,versions,1.26-eks-3,2023-06-09,,,,
eks,versions,1.25-eks-4,2023-06-09,,,,
eks,versions,1.24-eks-7,2023-06-09,,,,
eks,versions,1.27-eks-1,2023-05-24,,,,
eks,versions,1.26-eks-2,2023-05-05,,,,
eks,versions,1.25-eks-3,2023-05-05,,,,
eks,versions,1.24-eks-6,2023-05-05,,,,
eks,versions,1.23-eks-8,2023-05-05,,,,
eks,versions,1.22-eks-12,2023-05-05,,,,
eks,versions,1.21-eks-17,2023-05-05,,,,
eks,versions,1.20-eks-14,2023-05-05,,,,
eks,versions,1.26-eks-1,2023-04-11,,,,
eks,versions,1.25-eks-2,2023-03-24,,,,
eks,versions,1.24-eks-5,2023-03-24,,,,
eks,versions,1.23-eks-7,2023-03-24,,,,
eks,versions,1.22-eks-11,2023-03-24,,,,
eks,versions,1.21-eks-16,2023-03-24,,,,
eks,versions,1.25-eks-1,2023-02-21,,,,
eks,versions,1.24-eks-4,2023-01-27,,,,
eks,versions,1.23-eks-6,2023-01-27,,,,
eks,versions,1.22-eks-10,2023-01-27,,,,
eks,versions,1.21-eks-15,2023-01-27,,,,
eks,versions,1.24-eks-3,2022-12-05,,,,
eks,versions,1.23-eks-5,2022-12-05,,,,
eks,versions,1.22-eks-9,2022-12-05,,,,
eks,versions,1.21-eks-14,2022-12-05,,,,
eks,versions,1.20-eks-12,2022-12-05,,,,
eks,versions,1.24-eks-2,2022-11-18,,,,
eks,versions,1.23-eks-4,2022-11-18,,,,
eks,versions,1.22-eks-8,2022-11-18,,,,
eks,versions,1.21-eks-13,2022-11-18,,,,
eks,versions,1.20-eks-11,2022-11-18,,,,
eks,versions,1.24-eks-1,2022-11-15,,,,
eks,versions,1.23-eks-3,2022-11-07,,,,
eks,versions,1.22-eks-7,2022-11-07,,,,
eks,versions,1.21-eks-12,2022-11-07,,,,
eks,versions,1.20-eks-10,2022-11-07,,,,
eks,versions,1.21-eks-11,2022-10-10,,,,
eks,versions,1.23-eks-2,2022-09-21,,,,
eks,versions,1.22-eks-6,2022-09-21,,,,
eks,versions,1.20-eks-9,2022-09-21,,,,
eks,versions,1.22-eks-5,2022-08-15,,,,
eks,versions,1.21-eks-10,2022-08-15,,,,
eks,versions,1.20-eks-8,2022-08-15,,,,
eks,versions,1.19-eks-11,2022-08-15,,,,
eks,versions,1.23-eks-1,2022-08-11,,,,
eks,versions,1.22-eks-4,2022-07-21,,,,
eks,versions,1.21-eks-9,2022-07-21,,,,
eks,versions,1.20-eks-7,2022-07-21,,,,
eks,versions,1.22-eks-3,2022-07-07,,,,
eks,versions,1.21-eks-8,2022-07-07,,,,
eks,versions,1.22-eks-2,2022-05-31,,,,
eks,versions,1.21-eks-7,2022-05-31,,,,
eks,versions,1.20-eks-6,2022-05-31,,,,
eks,versions,1.19-eks-10,2022-05-31,,,,
eks,versions,1.21-eks-6,2022-04-08,,,,
eks,versions,1.20-eks-5,2022-04-08,,,,
eks,versions,1.19-eks-9,2022-04-08,,,,
eks,versions,1.22-eks-1,2022-04-04,,,,
eks,versions,1.20-eks-13,2022-03-24,,,,
eks,versions,1.21-eks-5,2022-03-10,,,,
eks,versions,1.20-eks-4,2022-03-10,,,,
eks,versions,1.19-eks-8,2022-03-10,,,,
